CMDLINE C:\Users\guill\Documents\gravity_sim\env\python.exe src/ui/main.py
MEM 642.500000 1697077081.5852
MEM 644.746094 1697077081.6857
MEM 648.656250 1697077081.7862
MEM 650.937500 1697077081.8863
MEM 654.824219 1697077081.9867
MEM 658.511719 1697077082.0871
MEM 661.113281 1697077082.1873
MEM 664.914062 1697077082.2876
MEM 667.535156 1697077082.3881
MEM 672.871094 1697077082.4887
MEM 676.226562 1697077082.5891
MEM 678.960938 1697077082.6896
MEM 682.089844 1697077082.7901
MEM 695.187500 1697077082.8903
MEM 691.175781 1697077082.9906
MEM 694.347656 1697077083.0911
MEM 697.480469 1697077083.1915
MEM 701.273438 1697077083.2917
MEM 704.410156 1697077083.3921
MEM 708.968750 1697077083.4926
MEM 711.859375 1697077083.5928
MEM 713.656250 1697077083.6932
MEM 718.082031 1697077083.7936
MEM 721.476562 1697077083.8941
MEM 726.765625 1697077083.9942
MEM 729.523438 1697077084.0946
MEM 733.652344 1697077084.1951
MEM 737.195312 1697077084.2956
MEM 741.917969 1697077084.3961
MEM 745.207031 1697077084.4966
MEM 747.753906 1697077084.5970
MEM 751.812500 1697077084.6975
MEM 755.589844 1697077084.7981
MEM 758.906250 1697077084.8986
MEM 763.355469 1697077084.9992
MEM 766.039062 1697077085.0997
MEM 770.289062 1697077085.2001
MEM 773.824219 1697077085.3006
MEM 777.042969 1697077085.4008
MEM 781.058594 1697077085.5012
MEM 785.167969 1697077085.6018
MEM 788.945312 1697077085.7021
MEM 791.671875 1697077085.8026
MEM 802.894531 1697077085.9031
MEM 798.742188 1697077086.0036
MEM 802.453125 1697077086.1041
MEM 805.910156 1697077086.2046
MEM 809.265625 1697077086.3052
MEM 820.613281 1697077086.4053
MEM 817.355469 1697077086.5058
MEM 819.546875 1697077086.6064
MEM 824.746094 1697077086.7066
MEM 827.242188 1697077086.8071
MEM 830.496094 1697077086.9076
MEM 834.097656 1697077087.0080
MEM 837.558594 1697077087.1085
MEM 842.093750 1697077087.2091
MEM 846.097656 1697077087.3092
MEM 849.140625 1697077087.4096
MEM 852.542969 1697077087.5101
MEM 855.968750 1697077087.6103
MEM 860.558594 1697077087.7106
MEM 863.332031 1697077087.8112
MEM 867.761719 1697077087.9115
MEM 870.832031 1697077088.0121
MEM 882.765625 1697077088.1123
MEM 878.769531 1697077088.2126
MEM 881.699219 1697077088.3129
MEM 886.687500 1697077088.4131
MEM 889.847656 1697077088.5136
MEM 892.949219 1697077088.6140
MEM 896.597656 1697077088.7143
MEM 900.230469 1697077088.8146
MEM 903.445312 1697077088.9150
MEM 915.449219 1697077089.0151
MEM 912.363281 1697077089.1156
MEM 914.746094 1697077089.2161
MEM 917.972656 1697077089.3166
MEM 921.371094 1697077089.4170
MEM 924.347656 1697077089.5176
MEM 928.257812 1697077089.6181
MEM 928.042969 1697077089.7183
MEM 928.042969 1697077089.8186
MEM 928.042969 1697077089.9187
MEM 888.808594 1697077090.0316
